Usua Amanam<>1<>15<>NB<>176<>SR<>Fremont, CA/Bellarmine College Prep.
Henry Anderson<>1<>91<>DE<>278<>JR<>Atlanta, GA/Woodward Academy
Kevin Anderson<>1<>48<>OLB<>250<>SO<>Palo Alto, CA/Palo Alto HS
Brendon Austin<>1<>74<>OT<>300<>SO<>Parker, CO/Chaparral HS
Harold Bernard<>1<>28<>SS<>189<>RS SR<>Chandler, AZ/Chandler HS
Dillon Bonnell<>1<>75<>OG<>281<>JR<>Highlands Ranch, CO/ThunderRidge Hs
Terrence Brown<>1<>6<>CB<>178<>SR<>Torrance, CA/Orange Lutheran HS
Barry Browning<>1<>31<>CB<>182<>JR<>Everman, TX/Everman HS
Devon Cajuste<>1<>89<>WR<>216<>SO<>Seaford, NY/Holy Cross HS
Lance Callihan<>1<>95<>DT<>300<>SO<>Baton Rouge, LA/Catholic HS
Devon Carrington<>1<>5<>FS<>199<>JR<>Chandler, AZ/Hamilton HS
Alex Carter<>1<>25<>CB<>200<>FR<>Ashburn, VA/Briar Woods HS
Johnny Caspers<>1<>57<>OG<>269<>FR<>Glen Ellyn, IL/Glenbard West HS
Conner Crane<>1<>81<>WR<>188<>FR<>Lantana, TX/John H. Guyer HS
Evan Crower<>1<>5<>QB<>210<>SO<>San Diego, CA/St. Augustine HS
Jackson Cummings<>1<>23<>RB<>190<>JR<>Rocklin, CA/Rocklin HS
Kevin Danser<>1<>76<>OG<>298<>SR<>Saratoga, CA/Bellarmine College Prep.
Nick Davidson<>1<>66<>OT<>276<>FR<>Eden Prarie, MN/Eden Prarie
Noor Davis<>1<>3<>OLB<>235<>FR<>Leesburg, FL/Leesburg HS
Alex Debniak<>1<>42<>OLB<>240<>RS SR<>Hudsonville, MI/Hudsonville HS
Davis Dudchock<>1<>83<>TE<>242<>JR<>Birmingham, AL/Oak Mountain HS
Zach Ertz<>1<>86<>TE<>252<>SR<>Alamo, CA/Monte Visa HS
Brent Etiz<>1<>50<>ILB<>207<>SR<>Clovis, CA/Buchanan HS
John Flacco<>1<>44<>WR<>196<>JR<>Audubon, NJ/Audubon HS
Cameron Fleming<>1<>73<>OT<>314<>JR<>Houston, TX/Cypress Creek HS
Alex Frkovic<>1<>82<>TE<>240<>FR<>London, Ontario/A.B. Lucas Secondary School
George Fullerton<>1<>59<>ILB<>215<>FR<>Piedmont, CA/Piedmont HS
Chris Gaertner<>1<>37<>FS<>185<>JR<>Atherton, CA/Sacred Heart Prep
Ben Gardner<>1<>49<>DE<>275<>SR<>Mequon, WI/Homestead HS
Joshua Garnett<>1<>51<>OG<>325<>FR<>Puyallup, WA/Puyallup HS
