Corey Adams<>6<>68<>DT<>277<>SR<>Scottsdale, Ariz./Saguaro
Alonzo Agwuenu<>6<>4<>WR<>211<>RS JR<>Chino Hills, Calif./Chino Hills HS/Mt. San Antonio JC
Sil Ajawara<>6<>58<>OL<>295<>RS SO<>Rancho Santa Margarita, Calif./Tesoro
Dante Alexander<>6<>37<>RB<>186<>RS SO<>Chandler, Ariz./Hamilton/Mesa Community College
Kevin Anderson<>6<>39<>CB<>175<>RS SO<>Lakewood, Calif./Lakewood
Preston Awedisean<>6<>63<>OL<>280<>FR<>Palmdale, Calif./Highland High School
Kevin Ayers<>6<>19<>S<>208<>SR<>Lynwood, Calif/Lynwood/West Los Angeles College
Cutter Baldock<>6<>94<>DE<>234<>RS FR<>Tigard, Ore./Tigard
Charles Beatty<>6<>57<>LB<>224<>RS SR<>Phoenix, Ariz./Mountain Pointe/Wagner College
Gonzalo Belloso<>6<>69<>DL<>260<>JR<>Pasadena, Calif./Cathedral HS/Pasadena City College
Mike Bercovici<>6<>2<>QB<>205<>SO<>Calabasas, Calif./Taft
Ezekiel Bishop<>6<>23<>DB<>194<>RS FR<>Denver, Colo./East
Josiah Blandin<>6<>88<>WR<>184<>FR<>Long Beach, Calif./Polytechnic HS
Carl Bradford<>6<>52<>LB<>233<>RS SO<>Norco, Calif./Norco
Dwain Bradshaw<>6<>22<>S<>220<>JR<>Chino Hills, Calif./Ruben S. Ayala
Nathaniel Brinker<>6<>51<>LB<>220<>FR<>St. George, Utah/Desert Hills HS
Jarrid Bryant<>6<>16<>CB<>186<>RS JR<>Salisbury, Conn./Salisbury Prep
Alex Bykovskiy<>6<>48<>TE<>225<>RS FR<>Federal Way, Wash./Decatur
Deveron Carr<>6<>1<>CB<>190<>RS SR<>Scottsdale, Ariz./Chaparral
Lloyd Carrington<>6<>17<>DB<>190<>RS SO<>Dallas, Texas/Lincoln/Pittsburgh
Gary Chambers<>6<>81<>WR<>200<>RS FR<>Glendale, Ariz/Ironwood
Danny Clark<>6<>28<>FB<>220<>RS FR<>Scottsdale, Ariz./Saguaro
Taylor Cohan<>6<>19<>QB<>200<>FR<>Santa Cruz, Calif/Monte Vista Christian
Davon Coleman<>6<>43<>DE<>282<>JR<>Cleveland, Ohio/Glenville/Fort Scott (Kan.)
Sean Conaway<>6<>93<>K<>199<>FR<>Evergreen, Colo./Evergreen HS
Gannon Conway<>6<>95<>DE<>265<>RS JR<>Higley, Ariz./Higley/Mesa Community College
Chris Coyle<>6<>87<>TE<>230<>JR<>Westlake Village, Calif./Oaks Christian
Alden Darby<>6<>4<>S<>188<>JR<>Long Beach, Calif./Millikan
Billy Davis<>6<>45<><>225<>RS FR<>Carmel, Ind./Carmel HS/Tennessee State
Terrell Davis<>6<>30<>RB<>225<>FR<>Victoria, B.C., Canada/Mount Douglas Senior Secondary
Jamil Douglas<>6<>74<>OL<>284<>RS SO<>Cypress, Calif./Cypress
Joe Eason<>6<>14<>CB<>177<>RS FR<>Pahokee, Fla./Pahokee
Michael Eubank<>6<>18<>QB<>233<>RS FR<>Corona, Calif./Centennial
Tevin Favor<>6<>84<>WR<>199<>SO<>Colombus, Ohio/Westerville South HS
Evan Finkenberg<>6<>62<>OL<>290<>RS JR<>Coto De Caza, Calif./Tesoro
Salamo Fiso<>6<>58<>LB<>203<>FR<>Long Beach, Calif./Polytechnic HS
Parker Flynn<>6<>94<>K<>200<>RS SO<>Orange County, Calif./Orange Lutheran HS
