Nelson Agholor<>5<>15<>WR<>185<>Fr<>Tampa, FL
John Akiba<>5<>36<>RB<>185<>Jr<>Mission Viejo, CA
Kris Albarado<>5<>35<>P<>200<>Fr<>Lake Charles, LA
Javorius Allen<>5<>37<>RB<>210<>Fr<>Tallahassee, FL
Joshua Alswang<>5<>45<>K<>150<>Fr<>Greenwood Village, CO
Will Andrew<>5<>51<>LB<>235<>Jr<>Huntington Beach, CA
Michael Arakelian<>5<>54<>DE<>210<>Jr<>Anaheim, CA
John Auran<>5<>41<>S<>195<>Jr<>Phoenix, AZ
Yonatan Aviv<>5<>62<>DT<>295<>So<>Los Angeles, CA
Dion Bailey<>5<>18<>LB<>210<>So<>Lakewood, CA
Zach Banner<>5<>73<>T<>335<>Fr<>Puyallup, WA
Matt Barkley<>5<>7<>QB<>230<>Sr<>Newport Beach, CA
Brian Baucham<>5<>30<>CB<>170<>Sr<>Torrance, CA
Ryan Bernstein<>5<>64<>DE<>225<>Fr<>Canyon Country, CA
Victor Blackwell<>5<>85<>WR<>190<>Fr<>Cerritos, CA
Gerald Bowman<>5<>27<>S<>215<>Jr<>Philadelphia, PA
Morgan Breslin<>5<>91<>DE<>250<>Jr<>Walnut Creek, CA
Anthony Brown<>5<>16<>CB<>180<>So<>Rialto, CA
Charles Burks<>5<>45<>FB<>230<>Fr<>Costa Mesa, CA
Tony Burnett<>5<>34<>LB<>205<>Sr<>Watts, CA
Troy Cardona<>5<>48<>WR<>185<>Fr<>Aloha, OR
Julian Coleman<>5<>50<>LB<>240<>Jr<>Columbus, OH
Jalen Cope-Fitzpatrick<>5<>88<>TE<>245<>Fr<>Rocklin, CA
Cole Cottrell<>5<>81<>WR<>170<>Fr<>Newport Beach, CA
Spencer Darlin<>5<>26<>WR<>175<>So<>Encinitas, CA
Lamar Dawson<>5<>55<>LB<>235<>So<>Junction City, KY
Giovanni Di Poalo<>5<>63<>G<>280<>So<>Ventura, CA
Ryan Dillard<>5<>49<>CB<>185<>Fr<>Buford, GA
Rob Dooley<>5<>44<>S<>190<>Fr<>Chicago, IL
Kevin Downey<>5<>84<>TE<>210<>Jr<>West Hills, CA
George Farmer<>5<>8<>WR<>205<>So<>Los Angeles, CA
De'Von Flournoy<>5<>10<>WR<>185<>Jr<>Studio City, CA
Devin Forte<>5<>14<>WR<>195<>Sr<>Los Angeles, CA
Luke Freeman<>5<>28<>LB<>200<>Jr<>Westlake Village, CA
Jeremy Galten<>5<>74<>T<>290<>Sr<>San Mateo, CA
David Garness<>5<>67<>T<>295<>Jr<>Anchorage, AK
Kamaron Germany<>5<>27<>RB<>185<>So<>Covina, CA
Cody Gifford<>5<>24<>WR<>200<>Sr<>Greenwich, CT
Kevin Graf<>5<>77<>T<>300<>Jr<>Agoura Hills, CA
Kevin Greene<>5<>81<>DE<>255<>Jr<>Oakland, CA
Xavier Grimble<>5<>86<>TE<>255<>So<>Las Vegas, NV
Nathan Guertler<>5<>76<>G<>275<>So<>Norco, CA
Torin Harris<>5<>4<>CB<>190<>Jr<>Las Vegas, NV
Andre Heidari<>5<>48<>K<>200<>So<>Bakersfield, CA
Ryan Henderson<>5<>15<>CB<>170<>Fr<>Moreno Valley, CA
Christian Heyward<>5<>97<>DT<>285<>Fr<>San Diego, CA
Cyrus Hobbi<>5<>69<>G<>285<>Fr<>Scottsdale, AZ
Khaled Holmes<>5<>78<>C<>305<>Sr<>Santa Ana, CA
Wes Horton<>5<>96<>DE<>255<>Sr<>Chatsworth, CA
Alec Jaffe<>5<>23<>RB<>195<>So<>Laguna Beach, CA
